Account,date,Daily_PnL,Gross_PnL,Total_Trades,Winning_Trades,PnL_Trades,Avg_Trade_Size_USD,Total_Volume_USD,Max_Trade_Size,Total_Fees,Long_Trades,Short_Trades,Win_Rate,Long_Short_Ratio,Leverage_Proxy,Sentiment,classification,FG_Value,Cum_PnL,Running_Max,Drawdown,Seg_Leverage,Seg_Frequency,Seg_Consistency
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,98656.64736799999,101011.685664,839,256,371,23593.019856972587,19794543.66,1190250.0,2355.038296,350,489,0.6900269541778976,0.7157464212678937,1.0466096345413947,Fear,Fear,44,-42536.81567100002,-167.796055,-42369.01961600002,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,374916.070873,375620.270243,531,83,111,10576.687156308852,5616220.88,301855.74,704.19937,111,420,0.7477477477477478,0.2642857142857143,0.46919227578455097,Greed,Greed,72,332379.25520200003,332379.25520200003,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,43700.804223,44400.9058,210,78,78,26585.06338095238,5582863.31,521633.4,700.101577,78,132,1.0,0.5909090909090909,1.1793396368110687,Neutral,Neutral,54,376080.059425,376080.059425,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,30897.0887,141,132,132,10161.056241134751,1432708.93,150084.3,0.0,132,9,1.0,10.0,0.45075447838211663,Neutral,Neutral,46,406977.14812499995,406977.14812499995,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,55086.0,48,16,16,32032.5,1537560.0,333478.05,0.0,16,32,1.0,0.5,1.4209932989370677,Fear,Fear,43,462063.14812499995,462063.14812499995,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,0.0,6,0,0,134600.00166666668,807600.01,399699.55,0.0,0,6,,0.0,5.970988852111184,Neutral,Neutral,47,462063.14812499995,462063.14812499995,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,9590.895707,10152.12224,59,31,31,27178.041694915253,1603504.46,288887.91,561.226533,31,28,1.0,1.1071428571428572,1.205644739770758,Neutral,Neutral,49,471654.043832,471654.043832,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,114889.506777,115445.395538,219,93,93,13233.776894977169,2898197.14,785654.97,555.888761,93,126,1.0,0.7380952380952381,0.587063397717654,Fear,Fear,25,586543.550609,586543.550609,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115149.726025,115287.0,55,1,1,24958.908545454546,1372739.97,685200.0,137.273975,1,54,1.0,0.018518518518518517,1.1072018041637095,Fear,Extreme Fear,16,701693.276634,701693.276634,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9475.503421,9482.221441,45,36,36,2985.797555555556,134360.89,16951.49,6.71802,36,9,1.0,4.0,0.13245292494894628,Fear,Extreme Fear,20,711168.780055,711168.780055,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533706.368278,533974.662903,641,540,540,8371.136099843994,5365898.24,449996.97,268.294625,540,101,1.0,5.346534653465347,0.3713518552210566,Fear,Fear,33,1244875.148333,1244875.148333,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40160.180002,40200.0,5,4,4,79640.0,398200.0,199600.0,39.819998,4,1,1.0,4.0,3.53290896206503,Neutral,Neutral,45,1285035.328335,1285035.328335,0.0,Low Leverage,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307789.17934000003,307855.80341,31,31,31,21491.640322580646,666240.85,292870.12,66.62407,31,0,1.0,10.0,0.9533903654586054,Fear,Fear,43,1592824.507675,1592824.507675,0.0,Low Leverage,Frequent,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11681.26240601,11715.94323,55,46,46,2469.9509090909087,135847.3,23456.31,34.68082399,8,47,1.0,0.1702127659574468,1.5820793539480895,Greed,Extreme Greed,84,11681.26240601,11681.26240601,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,0.0,1,0,0,0.06,0.06,0.06,0.0,0,1,,0.0,3.843184125138075e-05,Greed,Extreme Greed,81,11681.26240601,11681.26240601,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,-1.31668822,0.0,34,0,0,1426.8700000000001,48513.58,6450.0,1.31668822,34,0,,10.0,0.913954022105961,Greed,Greed,72,11679.94571779,11681.26240601,-1.3166882200002874,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3509.828217,3515.031065,26,25,25,2001.101153846154,52028.630000000005,34424.25,5.2028479999999995,0,26,1.0,0.0,1.2817666978761706,Greed,Extreme Greed,75,15189.77393479,15189.77393479,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,-1.4383267,0.0,46,0,0,1131.888695652174,52066.88,4255.79,1.4383267,46,0,,10.0,0.7250094444256129,Greed,Extreme Greed,78,15188.335608090001,15189.77393479,-1.4383266999993793,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2498.682783,2517.787385,64,63,63,852.88625,54584.72,4243.51,19.104602,0,64,1.0,0.0,0.546299816091424,Greed,Extreme Greed,78,17687.01839109,17687.01839109,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1592.3513008300001,1613.165903,59,15,15,1913.523898305085,112897.91,44497.83,20.81460217,44,15,1.0,2.933333333333333,1.2256707781730711,Greed,Extreme Greed,81,19279.36969192,19279.36969192,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,0.0,1,0,0,0.11,0.11,0.11,0.0,0,1,,0.0,7.045837562753138e-05,Greed,Extreme Greed,75,19279.36969192,19279.36969192,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1125.90925,1245.51851,34,21,21,10051.199411764705,341740.77999999997,34069.0,119.60926,13,21,1.0,0.6190476190476191,6.438101669648545,Greed,Greed,74,20405.27894192,20405.27894192,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,-61.51029,0.0,13,0,0,2845.9646153846156,36997.54,20964.0,61.51029,13,0,,10.0,1.822927671758474,Greed,Greed,61,20343.76865192,20405.27894192,-61.51029000000199,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4478.710747,4493.232479,17,17,17,2440.6282352941175,41490.68,22417.01,14.521732,0,17,1.0,0.0,1.563297281541018,Greed,Extreme Greed,75,24822.47939892,24822.47939892,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,957.886451,1047.030992,39,28,28,2154.3915384615384,84021.26999999999,28068.27,89.144541,10,29,1.0,0.3448275862068966,1.37995389332453,Greed,Extreme Greed,77,25780.365849920003,25780.365849920003,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4717.09261983,4842.054317,124,80,80,2194.294758064516,272092.55,38931.02,124.96169717000001,43,81,1.0,0.5308641975308642,1.405513130011207,Greed,Extreme Greed,77,30497.458469750003,30497.458469750003,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1585.43578279,1693.493165,339,198,198,1737.369557522124,588968.28,11112.5,108.05738221,141,198,1.0,0.7121212121212122,1.1128385171611983,Greed,Extreme Greed,75,32082.89425254,32082.89425254,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4196.90080075,4221.156399,54,4,4,2398.331666666667,129509.91,63969.34,24.25559825,50,4,1.0,10.0,1.5362050313582127,Greed,Extreme Greed,75,36279.79505329,36279.79505329,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,-1.05928092,0.0,44,0,0,1519.465681818182,66856.49,5996.6,1.05928092,44,0,,10.0,0.9732643978426232,Greed,Greed,71,36278.735772370004,36279.79505329,-1.0592809199952171,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6873.43136,6899.2458320000005,56,56,56,1317.0667857142857,73755.74,5725.86,25.814472,0,56,1.0,0.0,0.8436216937672957,Greed,Greed,72,43152.16713237,43152.16713237,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,-1.16815524,0.0,46,0,0,1602.9452173913044,73735.48,4853.16,1.16815524,46,0,,10.0,1.026735602157377,Greed,Greed,72,43150.99897713,43152.16713237,-1.1681552399968496,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7344.097366,7372.485101,55,55,55,1474.6896363636365,81107.93000000001,8101.89,28.387735,0,55,1.0,0.0,0.9445839666630614,Greed,Greed,70,50495.096343130004,50495.096343130004,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1132.09884222,1162.002541,78,25,25,2094.719358974359,163388.11,17257.51,29.90369878,53,25,1.0,2.12,1.34173203117161,Greed,Greed,68,51627.19518535,51627.19518535,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,5865.19567448,6352.452613,517,233,246,2792.42166344294,1443682.0,65618.5,487.25693852,270,247,0.9471544715447154,1.0931174089068827,1.7886317679392607,Greed,Greed,60,57492.390859830004,57492.390859830004,0.0,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12373.5563,-12346.990829,124,0,124,612.1092741935485,75901.55,12503.85,26.565471000000002,0,124,0.0,0.0,0.3920747742384058,Neutral,Neutral,47,45118.83455983,57492.390859830004,-12373.556300000004,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,206.031497,355.5854,159,127,127,2687.4032704402516,427297.12,24219.61,149.553903,31,128,1.0,0.2421875,1.7213642644666869,Neutral,Neutral,46,45324.866056830004,57492.390859830004,-12167.524803,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1095.65319927,1129.8489260000001,160,52,52,1641.2224999999999,262595.6,10800.0,34.19572673,108,52,1.0,2.076923076923077,1.0512533763032375,Neutral,Neutral,49,46420.5192561,57492.390859830004,-11071.871603730004,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6849.788332,-6820.76955,1,0,1,82910.81,82910.81,82910.81,29.018782,0,1,0.0,0.0,53.106918132389865,Fear,Fear,25,39570.730924100004,57492.390859830004,-17921.65993573,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,-1.35322108,0.0,52,0,0,1462.824423076923,76066.87,5004.57,1.35322108,52,0,,10.0,0.9369839334389157,Fear,Extreme Fear,16,39569.37770302,57492.390859830004,-17923.013156810004,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2427.39588428,2480.902379,110,50,50,1999.099181818182,219900.91,52034.6,53.50649472,60,50,1.0,1.2,1.280484373356692,Fear,Fear,33,41996.773587300006,57492.390859830004,-15495.617272529998,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3190.0328411399996,-3169.3554679999997,65,0,10,1756.5103076923076,114173.17,52564.88,20.67737314,55,10,0.0,5.5,1.125098755027412,Fear,Extreme Fear,15,38806.74074616,57492.390859830004,-18685.650113670003,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,-1.26292469,0.0,37,0,0,1499.4978378378378,55481.42,5976.14,1.26292469,37,0,,10.0,0.960474381009541,Fear,Fear,34,38805.477821470005,57492.390859830004,-18686.91303836,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2078.866537,2099.019688,47,47,47,1225.1170212765958,57580.5,6239.76,20.153151,0,47,1.0,0.0,0.7847250479344431,Fear,Fear,28,40884.34435847,57492.390859830004,-16608.046501360004,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,634.42590683,656.540742,65,57,57,2676.518153846154,173973.68,57560.25,22.11483517,8,57,1.0,0.14035087719298245,1.7143920132509012,Fear,Fear,27,41518.7702653,57492.390859830004,-15973.620594530003,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1107.0575359600002,-1065.797583,53,51,52,3326.2756603773582,176292.61,59580.93,41.25995296,1,52,0.9807692307692307,0.019230769230769232,2.1305816356325717,Fear,Extreme Fear,20,40411.712729340004,57492.390859830004,-17080.67813049,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1570.792203,1591.753271,53,52,52,2184.328113207547,115769.39,57088.8,20.961068,1,52,1.0,0.019230769230769232,1.399129188128675,Fear,Fear,34,41982.50493234,57492.390859830004,-15509.885927490002,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2335.64550596,-2315.377191,27,0,10,4259.311481481482,115001.41,35764.34,20.268314959999998,17,10,0.0,1.7,2.7282197116079945,Neutral,Neutral,45,39646.859426380004,57492.390859830004,-17845.53143345,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,-1.54451693,0.0,42,0,0,1460.115,61324.83,5991.52,1.54451693,42,0,,10.0,0.9352484648126634,Fear,Fear,44,39645.314909450004,57492.390859830004,-17847.07595038,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5038.173666,-5018.466447,97,0,97,580.479381443299,56306.5,4457.78,19.707219000000002,0,97,0.0,0.0,0.3718148572888093,Fear,Fear,26,34607.14124345,57492.390859830004,-22885.249616380002,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,695.21631698,716.143949,155,83,83,730.8744516129032,113285.54,6170.0,20.92763202,72,83,1.0,0.8674698795180723,0.46814751498461765,Fear,Fear,34,35302.357560430006,57492.390859830004,-22190.0332994,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,-0.456405,0.0,1,0,0,54768.6,54768.6,54768.6,0.456405,1,0,,10.0,35.08096901267287,Fear,Fear,25,35301.90115543,57492.390859830004,-22190.489704400003,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,-0.00035346,0.0,1,0,0,16.37,16.37,16.37,0.00035346,1,0,,10.0,0.010485487354751716,Fear,Fear,38,35301.900801970005,57492.390859830004,-22190.49005786,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-120.023502,-95.985744,88,1,88,780.4484090909092,68679.46,5745.37,24.037758,0,88,0.011363636363636364,0.0,0.4999011560512414,Fear,Fear,29,35181.87729997,57492.390859830004,-22310.513559860003,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-165.390321,-133.41237,125,20,67,730.92608,91365.76,3525.94,31.977951,60,65,0.29850746268656714,0.9230769230769231,0.46818058455090045,Fear,Fear,30,35016.48697897,57492.390859830004,-22475.90388086,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,822.60434833,951.934443,689,301,301,766.7829027576198,528313.42,17100.0,129.33009467,312,377,1.0,0.8275862068965517,0.4911479798842295,Fear,Fear,33,35839.091327300004,57492.390859830004,-21653.29953253,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,320.48232851,371.503,411,297,297,552.0850851581508,226906.97,6103.42,51.02067149,122,289,1.0,0.42214532871972316,0.3536274391675513,Fear,Fear,32,36159.57365581,57492.390859830004,-21332.81720402,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-2012.46525636,-1892.58947,603,249,335,963.6022222222223,581052.14,8408.45,119.87578636,297,306,0.7432835820895523,0.9705882352941176,0.6172167938987028,Fear,Fear,37,34147.10839945,57492.390859830004,-23345.282460380004,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3404.55218,3434.689308,97,97,97,887.6931958762888,86106.24,5892.97,30.137128,0,97,1.0,0.0,0.5685947330641394,Fear,Fear,39,37551.66057945001,57492.390859830004,-19940.730280379998,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2456.180088,2654.14315,568,336,340,2593.2515492957746,1472966.88,76400.0,197.963062,219,349,0.9882352941176471,0.6275071633237822,1.66105719779054,Greed,Greed,72,40007.84066745,57492.390859830004,-17484.550192380004,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1679.147861,1867.252909,680,333,401,1679.7829852941175,1142252.43,36020.0,188.105048,346,334,0.830423940149626,1.035928143712575,1.0759525504598995,Greed,Greed,63,41686.988528450005,57492.390859830004,-15805.402331379999,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1772.35658672,1969.39321,330,40,97,3782.839757575757,1248337.1199999999,177200.0,197.03662328000001,162,168,0.41237113402061853,0.9642857142857143,2.4230249507093857,Greed,Greed,60,43459.34511517,57492.390859830004,-14033.045744660005,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4665.787157,-4648.8710550000005,338,0,338,284.5678402366864,96183.93,6169.25,16.916102,0,338,0.0,0.0,0.18227443435374352,Greed,Greed,65,38793.55795817,57492.390859830004,-18698.832901660004,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,-0.267131,0.0,67,0,0,1435.3307462686569,96167.16,17277.3,0.267131,67,0,,10.0,0.9193733897303814,Greed,Greed,61,38793.29082717,57492.390859830004,-18699.100032660004,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5149.368721,5179.772745,83,83,83,1221.0467469879518,101346.88,6073.96,30.404024,0,83,1.0,0.0,0.7821179123459308,Greed,Greed,56,43942.659548170006,57492.390859830004,-13549.731311659998,High Leverage,Frequent,Mixed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1212.8230773,1243.853569,250,81,81,815.50576,203876.44,9043.98,31.0304917,169,81,1.0,2.0864197530864197,0.5223564651317769,Neutral,Neutral,53,45155.48262547,57492.390859830004,-12336.908234360002,High Leverage,Frequent,Mixed
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-11.197932000000002,-1.0,5,0,2,6070.2,30351.0,12422.25,10.197932,2,3,0.0,0.6666666666666666,0.8524004596296183,Neutral,Neutral,52,-11.197932000000002,-11.197932000000002,0.0,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1583.810415,1584.342755,1,1,1,1584.35,1584.35,1584.35,0.53234,0,1,1.0,0.0,0.222480423744553,Greed,Extreme Greed,78,1572.6124829999999,1572.6124829999999,0.0,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,174.68774900000003,208.81746,4,3,3,39530.9875,158123.95,79166.38,34.129711,3,1,1.0,3.0,5.551090889033755,Greed,Extreme Greed,84,1747.3002319999998,1747.3002319999998,0.0,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,15525.749777,16706.884912,797,300,306,6131.710464240904,4886973.24,270252.29,1181.135135,275,522,0.9803921568627451,0.5268199233716475,0.8610379918346491,Fear,Extreme Fear,18,17273.050009000002,17273.050009000002,0.0,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,10800.981383,13264.043303999999,339,189,231,21898.95651917404,7423746.26,317227.52,2463.061921,231,108,0.8181818181818182,2.138888888888889,3.0751343616936806,Fear,Fear,39,28074.031392,28074.031392,0.0,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5222.465929,5942.547242,313,40,40,8678.024504792333,2716221.67,133271.55,720.081313,40,273,1.0,0.14652014652014653,1.2186010471750643,Fear,Fear,32,33296.497321,33296.497321,0.0,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,7661.64279,8277.307357,863,424,424,3079.8473348783314,2657908.25,95861.22,615.664567,418,445,1.0,0.9393258426966292,0.4324838199465166,Fear,Fear,37,40958.140111,40958.140111,0.0,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2519.9781820000003,2638.012587,353,61,61,1965.9329745042492,693974.34,64989.97,118.03440499999999,61,292,1.0,0.2089041095890411,0.27606374931113387,Fear,Fear,39,43478.118293,43478.118293,0.0,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-20415.196179,-19037.340561,594,0,233,8110.89095959596,4817869.23,443367.23,1377.855618,233,361,0.0,0.6454293628808865,1.1389620081653509,Neutral,Neutral,47,23062.922114,43478.118293,-20415.196179,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-110663.971266,-108176.9187,469,66,236,20030.785479744136,9394438.39,999998.56,2487.052566,236,233,0.2796610169491525,1.0128755364806867,2.8127987133333643,Greed,Greed,72,-87601.04915199999,43478.118293,-131079.167445,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,7883.874984,8157.112326,70,66,70,15603.565285714287,1092249.57,126445.16,273.237342,67,3,0.9428571428571428,10.0,2.1911116967156956,Greed,Greed,63,-79717.174168,43478.118293,-123195.292461,High Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,0.0,1,0,0,0.17,0.17,0.17,0.0,0,1,,0.0,2.3872043447832877e-05,Greed,Greed,60,-79717.174168,43478.118293,-123195.292461,High Leverage,Frequent,Inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,148.831196,159.100072,93,16,26,373.7049462365591,34754.56,2535.33,10.268876,49,44,0.6153846153846154,1.1136363636363635,1.0763221779491559,Greed,Extreme Greed,86,148.831196,148.831196,0.0,Low Leverage,Frequent,Consistent Winner
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,151.038275,161.289904,95,34,44,353.5228421052631,33584.67,2332.7,10.251629,45,50,0.7727272727272727,0.9,1.0181949133973973,Greed,Extreme Greed,90,299.869471,299.869471,0.0,Low Leverage,Frequent,Consistent Winner
